# vi: ts=30 sw=30
i112	Motor 1 Warning Following Error Limit	Motor Safety I-Variables
i212	Motor 2 Warning Following Error Limit	Motor Safety I-Variables
i312	Motor 3 Warning Following Error Limit	Motor Safety I-Variables
i412	Motor 4 Warning Following Error Limit	Motor Safety I-Variables
i512	Motor 5 Warning Following Error Limit	Motor Safety I-Variables
i612	Motor 6 Warning Following Error Limit	Motor Safety I-Variables
i712	Motor 7 Warning Following Error Limit	Motor Safety I-Variables
i812	Motor 8 Warning Following Error Limit	Motor Safety I-Variables
i912	Motor 9 Warning Following Error Limit	Motor Safety I-Variables
i1012	Motor 10 Warning Following Error Limit	Motor Safety I-Variables
i1112	Motor 11 Warning Following Error Limit	Motor Safety I-Variables
i1212	Motor 12 Warning Following Error Limit	Motor Safety I-Variables
i1312	Motor 13 Warning Following Error Limit	Motor Safety I-Variables
i1412	Motor 14 Warning Following Error Limit	Motor Safety I-Variables
i1512	Motor 15 Warning Following Error Limit	Motor Safety I-Variables
i1612	Motor 16 Warning Following Error Limit	Motor Safety I-Variables
i1712	Motor 17 Warning Following Error Limit	Motor Safety I-Variables
i1812	Motor 18 Warning Following Error Limit	Motor Safety I-Variables
i1912	Motor 19 Warning Following Error Limit	Motor Safety I-Variables
i2012	Motor 20 Warning Following Error Limit	Motor Safety I-Variables
i2112	Motor 21 Warning Following Error Limit	Motor Safety I-Variables
i2212	Motor 22 Warning Following Error Limit	Motor Safety I-Variables
i2312	Motor 23 Warning Following Error Limit	Motor Safety I-Variables
i2412	Motor 24 Warning Following Error Limit	Motor Safety I-Variables
i2512	Motor 25 Warning Following Error Limit	Motor Safety I-Variables
i2612	Motor 26 Warning Following Error Limit	Motor Safety I-Variables
i2712	Motor 27 Warning Following Error Limit	Motor Safety I-Variables
i2812	Motor 28 Warning Following Error Limit	Motor Safety I-Variables
i2912	Motor 29 Warning Following Error Limit	Motor Safety I-Variables
i3012	Motor 30 Warning Following Error Limit	Motor Safety I-Variables
i3112	Motor 31 Warning Following Error Limit	Motor Safety I-Variables
i3212	Motor 32 Warning Following Error Limit	Motor Safety I-Variables
i113	Motor 1 Positive Software Position Limit	Motor Safety I-Variables
i213	Motor 2 Positive Software Position Limit	Motor Safety I-Variables
i313	Motor 3 Positive Software Position Limit	Motor Safety I-Variables
i413	Motor 4 Positive Software Position Limit	Motor Safety I-Variables
i513	Motor 5 Positive Software Position Limit	Motor Safety I-Variables
i613	Motor 6 Positive Software Position Limit	Motor Safety I-Variables
i713	Motor 7 Positive Software Position Limit	Motor Safety I-Variables
i813	Motor 8 Positive Software Position Limit	Motor Safety I-Variables
i913	Motor 9 Positive Software Position Limit	Motor Safety I-Variables
i1013	Motor 10 Positive Software Position Limit	Motor Safety I-Variables
i1113	Motor 11 Positive Software Position Limit	Motor Safety I-Variables
