# vi: ts=30 sw=30
i1506	Motor 15 Position Following Enable and Mode	Motor Definition I-Variables	87
i1606	Motor 16 Position Following Enable and Mode	Motor Definition I-Variables	87
i1706	Motor 17 Position Following Enable and Mode	Motor Definition I-Variables	87
i1806	Motor 18 Position Following Enable and Mode	Motor Definition I-Variables	87
i1906	Motor 19 Position Following Enable and Mode	Motor Definition I-Variables	87
i2006	Motor 20 Position Following Enable and Mode	Motor Definition I-Variables	87
i2106	Motor 21 Position Following Enable and Mode	Motor Definition I-Variables	87
i2206	Motor 22 Position Following Enable and Mode	Motor Definition I-Variables	87
i2306	Motor 23 Position Following Enable and Mode	Motor Definition I-Variables	87
i2406	Motor 24 Position Following Enable and Mode	Motor Definition I-Variables	87
i2506	Motor 25 Position Following Enable and Mode	Motor Definition I-Variables	87
i2606	Motor 26 Position Following Enable and Mode	Motor Definition I-Variables	87
i2706	Motor 27 Position Following Enable and Mode	Motor Definition I-Variables	87
i2806	Motor 28 Position Following Enable and Mode	Motor Definition I-Variables	87
i2906	Motor 29 Position Following Enable and Mode	Motor Definition I-Variables	87
i3006	Motor 30 Position Following Enable and Mode	Motor Definition I-Variables	87
i3106	Motor 31 Position Following Enable and Mode	Motor Definition I-Variables	87
i3206	Motor 32 Position Following Enable and Mode	Motor Definition I-Variables	87
i107	Motor 1 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i207	Motor 2 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i307	Motor 3 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i407	Motor 4 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i507	Motor 5 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i607	Motor 6 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i707	Motor 7 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i807	Motor 8 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i907	Motor 9 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1007	Motor 10 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1107	Motor 11 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1207	Motor 12 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1307	Motor 13 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1407	Motor 14 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1507	Motor 15 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1607	Motor 16 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1707	Motor 17 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1807	Motor 18 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i1907	Motor 19 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2007	Motor 20 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2107	Motor 21 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2207	Motor 22 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2307	Motor 23 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2407	Motor 24 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2507	Motor 25 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2607	Motor 26 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2707	Motor 27 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2807	Motor 28 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i2907	Motor 29 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i3007	Motor 30 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i3107	Motor 31 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i3207	Motor 32 Master (Handwheel) Scale Factor	Motor Definition I-Variables	88
i108	Motor 1 Position Scale Factor	Motor Definition I-Variables	88
i208	Motor 2 Position Scale Factor	Motor Definition I-Variables	88
i308	Motor 3 Position Scale Factor	Motor Definition I-Variables	88
i408	Motor 4 Position Scale Factor	Motor Definition I-Variables	88
i508	Motor 5 Position Scale Factor	Motor Definition I-Variables	88
i608	Motor 6 Position Scale Factor	Motor Definition I-Variables	88
i708	Motor 7 Position Scale Factor	Motor Definition I-Variables	88
i808	Motor 8 Position Scale Factor	Motor Definition I-Variables	88
i908	Motor 9 Position Scale Factor	Motor Definition I-Variables	88
i1008	Motor 10 Position Scale Factor	Motor Definition I-Variables	88
i1108	Motor 11 Position Scale Factor	Motor Definition I-Variables	88
i1208	Motor 12 Position Scale Factor	Motor Definition I-Variables	88
i1308	Motor 13 Position Scale Factor	Motor Definition I-Variables	88
i1408	Motor 14 Position Scale Factor	Motor Definition I-Variables	88
i1508	Motor 15 Position Scale Factor	Motor Definition I-Variables	88
i1608	Motor 16 Position Scale Factor	Motor Definition I-Variables	88
i1708	Motor 17 Position Scale Factor	Motor Definition I-Variables	88
i1808	Motor 18 Position Scale Factor	Motor Definition I-Variables	88
i1908	Motor 19 Position Scale Factor	Motor Definition I-Variables	88
i2008	Motor 20 Position Scale Factor	Motor Definition I-Variables	88
i2108	Motor 21 Position Scale Factor	Motor Definition I-Variables	88
i2208	Motor 22 Position Scale Factor	Motor Definition I-Variables	88
i2308	Motor 23 Position Scale Factor	Motor Definition I-Variables	88
i2408	Motor 24 Position Scale Factor	Motor Definition I-Variables	88
i2508	Motor 25 Position Scale Factor	Motor Definition I-Variables	88
i2608	Motor 26 Position Scale Factor	Motor Definition I-Variables	88
i2708	Motor 27 Position Scale Factor	Motor Definition I-Variables	88
i2808	Motor 28 Position Scale Factor	Motor Definition I-Variables	88
i2908	Motor 29 Position Scale Factor	Motor Definition I-Variables	88
i3008	Motor 30 Position Scale Factor	Motor Definition I-Variables	88
i3108	Motor 31 Position Scale Factor	Motor Definition I-Variables	88
i3208	Motor 32 Position Scale Factor	Motor Definition I-Variables	88
i109	Motor 1 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i209	Motor 2 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i309	Motor 3 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
i409	Motor 4 Velocity-Loop Scale Factor	Motor Definition I-Variables	88
